S	E	I	R
257	2	21	38
257	2	21	38
257	2	21	38
257	2	21	38
257	2	21	38
257	2	21	38
257	2	21	38
257	1	22	38
257	1	22	38
256	2	22	38
256	2	22	38
256	1	23	38
255	2	23	38
255	2	23	38
255	2	23	38
255	1	24	38
255	1	24	38
255	1	24	38
255	1	24	38
255	1	24	38
255	1	24	38
255	1	24	38
255	1	24	38
255	1	24	38
255	1	24	38
255	1	24	38
255	1	24	38
255	1	24	38
255	1	24	38
255	0	25	38
254	1	25	38
254	1	25	38
254	0	26	38
254	0	26	38
254	0	25	39
254	0	25	39
254	0	25	39
254	0	25	39
254	0	25	39
254	0	25	39
254	0	25	39
254	0	25	39
254	0	25	39
254	0	24	40
254	0	24	40
254	0	23	41
254	0	23	41
254	0	23	41
254	0	23	41
253	1	23	41
253	1	23	41
252	2	23	41
252	2	23	41
252	2	23	41
252	2	23	41
252	2	23	41
252	2	23	41
252	2	22	42
252	2	22	42
252	2	21	43
252	2	21	43
252	2	21	43
252	2	21	43
252	2	21	43
252	2	21	43
252	2	21	43
252	2	21	43
252	2	21	43
252	2	21	43
252	0	23	43
250	2	23	43
250	2	23	43
250	2	23	43
250	2	23	43
250	2	23	43
250	2	23	43
250	2	23	43
250	2	23	43
248	4	23	43
248	4	23	43
248	4	23	43
248	4	23	43
248	4	22	44
248	4	22	44
248	4	22	44
248	4	22	44
248	4	21	45
248	4	21	45
248	4	21	45
248	4	21	45
248	4	20	46
248	3	21	46
247	4	21	46
247	3	22	46
243	6	23	46
243	6	22	47
242	5	24	47
241	5	25	47
240	6	25	47
240	6	25	47
240	6	25	47
240	5	26	47
240	4	27	47
239	5	26	48
239	4	27	48
239	4	27	48
239	4	27	48
239	4	27	48
239	4	27	48
239	4	27	48
239	4	27	48
239	4	27	48
239	4	27	48
239	4	27	48
239	3	28	48
239	3	28	48
239	3	28	48
239	3	28	48
239	2	29	48
239	2	29	48
239	2	28	49
239	1	29	49
239	1	29	49
239	1	29	49
239	1	29	49
239	1	29	49
239	1	29	49
239	1	29	49
239	1	29	49
239	1	29	49
239	1	29	49
239	1	29	49
238	2	29	49
238	2	28	50
238	2	28	50
238	2	28	50
237	2	29	50
236	3	29	50
236	3	29	50
236	3	29	50
236	3	29	50
236	2	30	50
236	2	30	50
235	3	30	50
235	3	30	50
235	3	30	50
234	3	31	50
232	5	31	50
232	4	32	50
231	5	31	51
231	5	31	51
231	4	32	51
229	6	32	51
229	6	32	51
229	6	32	51
229	6	32	51
229	6	32	51
229	6	32	51
229	6	32	51
229	6	32	51
229	5	33	51
229	4	34	51
229	4	34	51
228	5	34	51
228	5	34	51
228	5	34	51
228	5	34	51
228	5	34	51
228	5	33	52
228	4	34	52
228	4	34	52
228	4	34	52
228	4	34	52
228	4	34	52
228	4	34	52
228	4	33	53
228	4	33	53
228	4	33	53
227	5	33	53
226	5	34	53
226	5	34	53
226	5	34	53
226	5	34	53
226	5	34	53
226	5	34	53
226	4	35	53
226	4	35	53
226	4	35	53
225	5	35	53
225	5	35	53
225	5	34	54
225	3	35	55
225	3	35	55
225	3	35	55
225	3	35	55
225	3	34	56
225	3	34	56
225	3	34	56
225	3	34	56
225	3	34	56
225	2	35	56
225	2	35	56
225	2	35	56
225	2	34	57
224	3	34	57
224	2	35	57
224	2	35	57
224	2	35	57
224	2	34	58
224	2	34	58
224	2	33	59
223	3	33	59
222	4	33	59
222	3	34	59
222	3	34	59
222	3	34	59
222	3	34	59
222	3	34	59
222	3	34	59
222	3	34	59
222	3	34	59
222	3	34	59
222	3	34	59
