S	E	I	R
137	0	16	6
137	0	16	6
137	0	16	6
137	0	16	6
137	0	16	6
137	0	16	6
137	0	16	6
137	0	16	6
137	0	16	6
137	0	16	6
137	0	16	6
137	0	16	6
137	0	16	6
137	0	16	6
137	0	16	6
137	0	16	6
137	0	16	6
137	0	16	6
137	0	16	6
137	0	16	6
137	0	16	6
137	0	16	6
137	0	16	6
137	0	16	6
136	1	16	6
135	2	16	6
135	1	17	6
135	1	17	6
135	1	17	6
135	1	17	6
135	1	17	6
135	1	17	6
135	1	17	6
135	1	17	6
135	1	17	6
135	1	17	6
135	1	17	6
135	1	17	6
135	1	17	6
135	1	17	6
135	1	17	6
135	1	17	6
136	1	17	5
136	1	17	5
136	1	17	5
136	1	17	5
136	1	17	5
136	1	17	5
136	1	17	5
136	1	17	5
136	1	17	5
136	1	17	5
136	1	17	5
136	1	17	5
136	1	16	6
136	1	16	6
136	1	16	6
136	1	16	6
136	1	16	6
136	1	16	6
136	1	16	6
136	1	16	6
136	0	17	6
136	0	17	6
136	0	17	6
136	0	17	6
136	0	17	6
136	0	17	6
136	0	17	6
136	0	17	6
136	0	17	6
136	0	17	6
136	0	17	6
136	0	17	6
136	0	17	6
136	0	17	6
136	0	17	6
136	0	17	6
136	0	17	6
136	0	17	6
136	0	17	6
136	0	17	6
136	0	17	6
136	0	17	6
136	0	17	6
136	0	17	6
136	0	17	6
136	0	17	6
136	0	17	6
136	0	17	6
136	0	17	6
136	0	17	6
136	0	17	6
136	0	17	6
136	0	17	6
135	1	17	6
135	1	17	6
135	1	17	6
135	1	17	6
135	1	17	6
135	1	17	6
135	1	17	6
135	1	17	6
135	1	17	6
135	1	17	6
135	1	17	6
135	1	17	6
135	1	17	6
135	1	17	6
135	1	17	6
135	1	17	6
135	1	17	6
135	1	17	6
135	1	17	6
135	1	17	6
135	1	17	6
135	0	18	6
135	0	18	6
134	1	18	6
134	1	18	6
134	1	18	6
134	1	18	6
134	1	18	6
134	1	18	6
134	1	18	6
134	1	18	6
134	1	18	6
134	1	18	6
134	1	18	6
134	1	18	6
134	1	18	6
134	0	19	6
134	0	18	7
134	0	18	7
134	0	18	7
134	0	18	7
134	0	18	7
134	0	18	7
134	0	18	7
134	0	18	7
134	0	18	7
134	0	18	7
134	0	18	7
134	0	18	7
134	0	18	7
134	0	18	7
135	0	18	6
134	1	18	6
134	1	18	6
134	1	18	6
134	1	18	6
134	1	18	6
134	1	18	6
134	1	18	6
134	1	18	6
134	1	18	6
134	1	18	6
134	1	18	6
134	1	18	6
134	1	18	6
134	1	18	6
134	1	18	6
134	1	18	6
134	1	18	6
134	1	17	7
134	1	17	7
133	2	17	7
133	2	17	7
133	2	17	7
133	1	18	7
133	1	18	7
133	1	18	7
133	1	18	7
133	1	18	7
133	1	18	7
133	1	18	7
133	1	18	7
133	1	18	7
133	1	18	7
133	1	18	7
133	1	18	7
133	1	18	7
133	1	18	7
133	1	18	7
133	1	18	7
133	1	18	7
133	1	18	7
133	1	18	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
